Date,AAPL,AMZN,MSFT,NVDA,SP500,TSLA
2021-05-20,127.31,162.384,246.48,14.6125,4159.1,195.5933
2021-05-21,125.43,160.154,245.17,14.9918,4155.9,193.6266
2021-05-24,127.1,162.2495,250.78,15.612,4197.1,202.1466
2021-05-25,126.9,162.9525,251.72,15.6478,4188.1,201.5633
2021-05-26,126.85,163.258,251.49,15.7,4196.0,206.3766
2021-05-27,125.28,161.5055,249.31,15.488,4200.9,210.2833
2021-05-28,124.61,161.1535,249.68,16.2445,4204.1,208.4066
2021-06-01,124.28,160.9325,247.4,16.2645,4202.0,207.9666
2021-06-02,125.06,161.6995,247.3,16.7783,4208.1,201.7066
2021-06-03,123.54,159.3505,245.71,16.9698,4192.9,190.9466
2021-06-04,125.89,160.311,250.79,17.5783,4229.9,199.6833
2021-06-07,125.9,159.9005,253.81,17.619,4226.5,201.71
2021-06-08,126.74,163.2055,252.57,17.457,4227.3,201.1966
2021-06-09,127.13,164.0575,253.59,17.3583,4219.6,199.5933
2021-06-10,126.11,167.4825,257.24,17.425,4239.2,203.3733
2021-06-11,127.35,167.3415,257.89,17.8253,4247.4,203.2966
2021-06-14,130.48,169.1935,259.89,18.0188,4255.1,205.8966
2021-06-15,129.64,169.1565,258.36,17.7885,4246.6,199.7866
2021-06-16,130.15,170.7625,257.38,17.8103,4223.7,201.6233
2021-06-17,131.79,174.462,260.9,18.6573,4221.9,205.5333
2021-06-18,130.46,174.345,259.43,18.6387,4166.4,207.77
2021-06-21,132.3,172.698,262.63,18.4273,4224.8,206.9433
2021-06-22,133.98,175.272,265.51,18.8868,4246.4,207.9033
2021-06-23,133.7,175.191,265.275,19.0573,4241.8,218.8566
2021-06-24,133.41,172.454,266.69,19.2055,4266.5,226.6066
2021-06-25,133.11,170.073,265.02,19.031,4280.7,223.9566
2021-06-28,134.78,172.1945,268.72,19.985,4290.6,229.5733
2021-06-29,136.33,172.407,271.4,20.0268,4291.8,226.92
2021-06-30,136.96,172.008,270.9,20.0025,4297.5,226.5666
2021-07-01,137.27,171.6485,271.6,20.212,4319.9,225.9733
2021-07-02,139.96,175.549,277.65,20.487,4352.3,226.3
2021-07-06,142.02,183.787,277.66,20.6985,4343.5,219.86
2021-07-07,144.57,184.829,279.93,20.3718,4358.1,214.8833
2021-07-08,143.24,186.5705,277.42,19.9028,4320.8,217.6033
2021-07-09,145.11,185.967,277.94,20.0503,4369.6,218.9833
2021-07-12,144.5,185.9275,277.32,20.5125,4384.6,228.5666
2021-07-13,145.64,183.868,280.98,20.25,4369.2,222.8466
2021-07-14,149.15,184.084,282.51,19.8415,4374.3,217.7933
2021-07-15,148.48,181.56,281.03,18.9662,4360.0,216.8666
2021-07-16,146.39,178.6815,280.75,18.161,4327.2,214.74
2021-07-19,142.45,177.4795,277.01,18.7798,4258.5,215.4066
2021-07-20,146.15,178.6595,279.32,18.612,4323.1,220.1666
2021-07-21,145.4,179.26,281.4,19.41,4358.7,218.43
2021-07-22,146.8,181.9015,286.14,19.594,4367.5,216.42
2021-07-23,148.56,182.832,289.67,19.558,4411.8,214.46
2021-07-26,148.99,184.991,289.05,19.294,4422.3,219.2066
2021-07-27,146.77,181.3195,286.54,19.208,4401.5,214.9266
2021-07-28,144.98,181.516,286.22,19.503,4400.6,215.66
2021-07-29,145.64,179.996,286.5,19.662,4419.1,225.7833
2021-07-30,145.86,166.3795,284.91,19.499,4395.3,229.0666
2021-08-02,145.52,166.574,284.82,19.75,4387.2,236.5566
2021-08-03,147.36,168.312,287.12,19.815,4423.1,236.58
2021-08-04,146.95,167.736,286.51,20.274,4402.7,236.9733
2021-08-05,147.06,168.7995,289.52,20.637,4429.1,238.21
2021-08-06,146.14,167.247,289.46,20.366,4436.5,233.0333
2021-08-09,146.09,167.0935,288.33,20.295,4432.4,237.92
2021-08-10,145.6,166.034,286.44,19.936,4436.8,236.6633
2021-08-11,145.86,164.6055,286.95,19.699,4447.7,235.94
2021-08-12,148.89,165.175,289.81,19.905,4460.8,240.75
2021-08-13,149.1,164.6985,292.85,20.188,4468.0,239.0566
2021-08-16,151.12,164.9495,294.6,19.95,4479.7,228.7233
2021-08-17,150.19,162.098,293.08,19.458,4448.1,221.9033
2021-08-18,146.36,160.061,290.73,19.04,4400.3,229.6633
2021-08-19,146.7,159.3875,296.77,19.798,4405.8,224.49
2021-08-20,148.19,159.9975,304.36,20.816,4441.7,226.7533
2021-08-23,149.71,163.2935,304.65,21.958,4479.5,235.4333
2021-08-24,149.62,165.289,302.62,21.793,4486.2,236.1633
2021-08-25,148.36,164.959,302.01,22.213,4496.2,237.0666
2021-08-26,147.54,165.8,299.09,22.068,4470.0,233.72
2021-08-27,148.6,167.4815,299.72,22.636,4509.4,237.3066
2021-08-30,153.12,171.0785,303.59,22.688,4528.8,243.6366
2021-08-31,151.83,173.5395,301.88,22.385,4522.7,245.24
2021-09-01,152.51,173.95,301.83,22.441,4524.1,244.6966
2021-09-02,153.65,173.156,301.15,22.396,4536.9,244.13
2021-09-03,154.3,173.9025,301.14,22.843,4535.4,244.5233
2021-09-07,156.69,175.4645,300.18,22.662,4520.0,250.9733
2021-09-08,155.11,176.275,300.21,22.339,4514.1,251.29
2021-09-09,154.07,174.208,297.25,22.177,4493.3,251.62
2021-09-10,148.97,173.4575,295.71,22.478,4458.6,245.4233
2021-09-13,149.55,172.8585,296.99,22.152,4468.7,247.6666
2021-09-14,148.12,172.5,299.79,22.242,4443.1,248.1633
2021-09-15,149.03,173.7895,304.82,22.341,4480.7,251.9433
2021-09-16,148.79,174.412,305.22,22.242,4473.8,252.33
2021-09-17,146.06,173.126,299.87,21.9,4433.0,253.1633
2021-09-20,142.94,167.7865,294.3,21.113,4357.7,243.39
2021-09-21,143.43,167.1815,294.8,21.246,4354.2,246.46
2021-09-22,145.85,169.0025,298.58,21.941,4395.6,250.6466
2021-09-23,146.83,170.8,299.56,22.482,4449.0,251.2133
2021-09-24,146.92,171.276,299.35,22.081,4455.5,258.13
2021-09-27,145.37,170.29,294.17,21.66,4443.1,263.7866
